utc_timestamp,AT_temperature,BE_temperature,BG_temperature,CH_temperature,CZ_temperature,DE_temperature,DK_temperature,EE_temperature,ES_temperature,FI_temperature,FR_temperature,GB_temperature,GR_temperature,HR_temperature,HU_temperature,IE_temperature,IT_temperature,LT_temperature,LU_temperature,LV_temperature,NL_temperature,NO_temperature,PL_temperature,PT_temperature,RO_temperature,SE_temperature,SI_temperature,SK_temperature
1980-01-01T00:00:00Z,-3.64,-0.72,4.664,-6.287,-3.422,-1.261,-1.87,-7.06,8.066,-6.254,-0.537,-1.249,9.912,-0.88,-3.021,1.292,0.301,-6.541,-5.15,-7.166,2.382,-7.038,-3.721,12.862,-0.031,-3.945,-3.055,-4.648
1980-01-01T01:00:00Z,-3.803,-1.165,4.052,-6.602,-3.36,-1.414,-1.914,-7.341,7.96,-6.232,-0.489,-1.377,9.369,-0.888,-2.793,1.121,0.145,-6.509,-5.333,-7.371,2.236,-6.941,-3.806,12.757,0.311,-4.053,-3.272,-4.554
1980-01-01T02:00:00Z,-3.969,-1.434,3.581,-6.981,-3.429,-1.571,-1.976,-7.591,8.008,-6.343,-0.391,-1.449,9.056,-0.95,-2.597,0.98,-0.029,-6.416,-5.167,-7.342,2.086,-6.856,-3.868,12.674,0.568,-4.129,-3.639,-4.455
1980-01-01T03:00:00Z,-4.076,-1.843,3.197,-7.368,-3.697,-1.76,-2.04,-7.716,8.065,-6.55,-0.354,-1.481,8.658,-1.157,-2.568,0.944,-0.191,-6.197,-5.105,-7.206,1.861,-6.761,-3.934,12.622,0.61,-4.139,-4.202,-4.421
1980-01-01T04:00:00Z,-4.248,-2.094,2.75,-7.849,-4.081,-1.995,-2.106,-7.638,8.009,-6.722,-0.354,-1.433,8.335,-1.468,-2.689,0.91,-0.275,-5.899,-5.218,-7.073,1.713,-6.569,-4.064,12.522,0.462,-4.239,-4.732,-4.449
1980-01-01T05:00:00Z,-4.527,-2.06,2.397,-8.112,-4.177,-2.19,-2.137,-7.432,7.95,-6.821,-0.397,-1.426,8.069,-1.738,-2.806,0.903,-0.282,-5.704,-5.298,-6.864,1.596,-6.561,-4.195,12.393,0.158,-4.335,-5.155,-4.517
1980-01-01T06:00:00Z,-4.84,-1.88,2.487,-7.998,-4.192,-2.316,-2.156,-7.314,7.807,-6.876,-0.421,-1.482,8.066,-1.989,-2.915,0.89,-0.184,-5.704,-5.423,-6.753,1.505,-6.634,-4.312,12.229,-0.162,-4.384,-5.416,-4.607
1980-01-01T07:00:00Z,-4.703,-1.779,2.927,-7.701,-3.951,-2.439,-2.173,-7.221,7.759,-6.941,-0.404,-1.579,8.347,-1.456,-2.801,0.796,0.839,-5.474,-5.294,-6.636,1.321,-6.804,-4.174,12.043,-0.258,-4.468,-4.393,-4.254
1980-01-01T08:00:00Z,-3.835,-1.09,3.023,-6.669,-2.905,-2.204,-2.034,-6.779,8.651,-6.857,0.29,-1.584,8.663,0.038,-2.354,0.734,2.8,-4.654,-4.54,-6.015,1.298,-6.861,-3.534,12.381,-0.215,-4.362,-2.011,-3.54
1980-01-01T09:00:00Z,-2.804,-0.234,2.973,-4.766,-1.887,-1.616,-1.543,-6.188,9.879,-6.585,1.284,-1.122,9.012,1.313,-1.577,0.962,4.352,-3.897,-3.647,-5.188,1.608,-6.787,-2.746,13.423,-0.092,-3.875,0.107,-2.733
1980-01-01T10:00:00Z,-2.124,0.507,2.928,-3.318,-1.095,-1.015,-0.982,-5.729,11.146,-6.435,2.2,-0.465,9.139,2.178,-0.757,1.654,5.573,-3.364,-2.966,-4.651,1.894,-6.602,-2.033,14.05,0.181,-3.412,0.945,-2.038
1980-01-01T11:00:00Z,-1.769,1.097,2.493,-2.556,-0.651,-0.575,-0.603,-5.577,12.372,-6.594,2.823,0.074,9.081,2.8,-0.125,2.209,6.364,-3.123,-2.27,-4.485,2.15,-6.436,-1.617,14.571,0.277,-3.167,1.385,-1.578
1980-01-01T12:00:00Z,-1.7,1.46,1.676,-2.237,-0.518,-0.393,-0.513,-5.902,13.27,-6.977,3.155,0.452,9.153,3.128,0.222,2.54,6.606,-3.509,-1.716,-4.739,2.382,-6.422,-1.517,14.949,0.09,-3.169,1.566,-1.413
1980-01-01T13:00:00Z,-1.951,1.479,0.674,-2.342,-0.719,-0.527,-0.835,-6.479,13.648,-7.309,3.151,0.498,8.99,3.001,0.175,2.6,6.404,-4.499,-1.538,-5.531,2.498,-6.728,-1.899,14.995,-0.467,-3.506,1.341,-1.626
1980-01-01T14:00:00Z,-2.76,0.896,-0.418,-2.932,-1.287,-1.036,-1.447,-6.636,13.585,-7.322,2.572,-0.033,8.348,1.672,-0.487,2.21,5.331,-5.269,-1.94,-6.231,2.341,-7.329,-2.668,14.749,-1.392,-3.907,-0.114,-2.265
1980-01-01T15:00:00Z,-3.71,0.044,-1.232,-4.007,-1.883,-1.726,-1.711,-6.668,12.888,-7.267,1.482,-1.575,7.307,0.087,-1.515,0.985,3.89,-5.535,-3.203,-6.402,1.972,-7.728,-3.052,14.371,-2.095,-4.136,-1.756,-2.938
1980-01-01T16:00:00Z,-4.171,-0.094,-1.645,-4.784,-2.363,-2.077,-1.755,-6.809,11.2,-7.293,0.635,-2.443,6.616,-0.556,-2.322,-0.182,3.257,-5.836,-4.235,-6.687,1.986,-8.009,-3.22,13.569,-2.629,-4.379,-2.585,-3.401
1980-01-01T17:00:00Z,-4.452,0.01,-1.901,-5.139,-2.738,-2.263,-1.783,-6.95,10.019,-7.379,0.328,-2.494,6.118,-0.953,-2.929,-0.477,3.024,-5.946,-4.402,-7.077,2.101,-8.206,-3.385,11.957,-3.115,-4.64,-3.171,-3.788
1980-01-01T18:00:00Z,-4.706,0.061,-2.055,-5.383,-3.082,-2.462,-1.845,-7.128,9.542,-7.461,0.044,-2.611,5.562,-1.287,-3.256,-0.581,2.884,-6.021,-4.388,-7.447,2.164,-8.356,-3.569,11.546,-3.469,-4.905,-3.557,-4.181
1980-01-01T19:00:00Z,-5.025,0.068,-2.214,-5.603,-3.273,-2.57,-1.878,-7.384,9.052,-7.533,-0.23,-2.717,4.882,-1.602,-3.506,-0.665,2.688,-6,-4.308,-7.76,2.163,-8.543,-3.74,11.198,-3.771,-5.138,-3.859,-4.498
1980-01-01T20:00:00Z,-5.346,0.137,-2.441,-5.798,-3.466,-2.65,-1.853,-7.649,8.636,-7.75,-0.5,-2.755,4.591,-1.883,-3.748,-0.767,2.464,-6.007,-4.159,-7.746,2.056,-8.707,-3.918,10.969,-4.057,-5.315,-4.072,-4.736
1980-01-01T21:00:00Z,-5.732,0.343,-2.691,-6.059,-3.584,-2.725,-1.787,-7.726,8.261,-8.013,-0.709,-2.886,4.516,-2.16,-3.98,-0.835,2.277,-6.031,-4.213,-7.43,1.758,-8.673,-3.992,10.83,-4.291,-5.443,-4.393,-4.88
1980-01-01T22:00:00Z,-6.13,0.496,-3.026,-6.503,-3.688,-2.814,-1.776,-7.611,7.785,-8.224,-0.843,-3.015,4.431,-2.415,-4.175,-0.87,2.301,-6.089,-4.352,-7.143,1.411,-8.512,-4.037,10.652,-4.457,-5.558,-4.552,-5.048
1980-01-01T23:00:00Z,-6.42,0.527,-3.468,-7.029,-3.87,-2.95,-1.822,-7.287,7.329,-8.449,-0.934,-3.113,4.477,-2.484,-4.275,-0.977,2.262,-6.229,-4.168,-6.979,1.098,-8.514,-4.116,10.503,-4.608,-5.696,-4.572,-5.103
1980-01-02T00:00:00Z,-6.666,0.581,-3.929,-7.474,-4.057,-3.041,-1.951,-6.851,6.968,-8.583,-1.011,-3.159,4.483,-2.614,-4.308,-1.172,2.219,-6.409,-3.763,-6.739,0.973,-8.724,-4.178,10.369,-4.71,-5.83,-4.606,-5.182
1980-01-02T01:00:00Z,-6.842,0.572,-4.346,-7.938,-4.266,-3.045,-2.171,-6.379,6.769,-8.53,-1.045,-3.183,4.462,-2.656,-4.329,-1.241,2.182,-6.559,-3.411,-6.558,0.805,-9.124,-4.21,10.246,-4.819,-5.961,-4.602,-5.27
1980-01-02T02:00:00Z,-7.017,0.558,-4.666,-8.62,-4.462,-3.066,-2.413,-5.821,6.62,-8.387,-1.108,-3.203,4.527,-2.614,-4.712,-1.13,2.071,-6.633,-2.988,-6.341,0.714,-9.544,-4.214,10.162,-4.96,-6.078,-4.657,-5.413
1980-01-02T03:00:00Z,-7.181,0.556,-4.867,-9.242,-4.758,-3.072,-2.632,-5.31,6.483,-8.385,-1.203,-3.207,4.73,-2.572,-5.403,-0.958,2.01,-6.667,-2.637,-6.166,0.78,-10.006,-4.347,10.11,-5.171,-6.263,-4.646,-5.801
1980-01-02T04:00:00Z,-7.353,0.424,-4.865,-9.617,-4.89,-3.144,-2.871,-4.874,6.527,-8.464,-1.32,-3.291,4.921,-2.528,-6.063,-0.754,1.978,-6.695,-2.431,-6.034,0.846,-10.458,-4.5,10.035,-5.433,-6.511,-4.713,-6.165
1980-01-02T05:00:00Z,-7.359,0.218,-4.665,-9.897,-4.892,-3.193,-3.149,-4.544,6.526,-8.503,-1.453,-3.395,5.015,-2.571,-6.508,-0.65,1.856,-6.681,-2.374,-5.954,0.851,-10.823,-4.599,9.951,-5.787,-6.703,-4.816,-6.401
1980-01-02T06:00:00Z,-7.436,0.107,-3.543,-10.105,-4.881,-3.294,-3.434,-4.376,6.437,-8.559,-1.654,-3.521,5.434,-2.676,-6.773,-0.678,1.663,-6.64,-2.74,-5.889,0.818,-11.086,-4.689,9.853,-5.762,-6.991,-4.838,-6.513
1980-01-02T07:00:00Z,-7.185,0.148,-1.575,-9.905,-4.559,-3.332,-3.647,-4.334,6.352,-8.554,-1.78,-3.612,6.726,-2.303,-5.916,-0.657,1.986,-6.524,-2.915,-5.812,0.818,-11.24,-4.52,9.795,-4.29,-7.305,-4.502,-6.193
1980-01-02T08:00:00Z,-6.019,0.533,0.174,-8.757,-3.821,-2.973,-3.508,-4.285,7.235,-8.425,-1.151,-3.553,7.693,-1.149,-4.097,-0.561,3.203,-6.152,-2.461,-5.646,1.022,-11.472,-3.809,10.217,-2.305,-7.503,-3.379,-5.109
1980-01-02T09:00:00Z,-4.471,1.154,1.368,-7.341,-3.045,-2.25,-2.817,-4.26,8.606,-8.171,0.094,-2.735,8.287,0.041,-2.523,0.16,4.338,-5.703,-1.468,-5.404,1.614,-11.344,-2.98,11.446,-0.897,-7.344,-1.992,-3.775
1980-01-02T10:00:00Z,-3.461,1.715,1.967,-6.222,-2.375,-1.569,-2.102,-4.254,9.979,-7.96,1.221,-1.615,8.696,1.042,-1.316,1.289,5.154,-5.33,-0.586,-5.138,2.077,-10.867,-2.273,12.693,-0.079,-7.041,-0.96,-2.804
